Instance1_2s_30c_4v;10;5.311;2349,869385
Instance1_2s_30c_4v;10;4.488;2266,042725
Instance1_2s_30c_4v;10;8.241;2301,284668
Instance1_2s_30c_4v;10;7.089;2336,406738
Instance1_2s_30c_4v;10;8.316;2337,259033
Instance1_2s_30c_4v;30;19.656;2340,017334
Instance1_2s_30c_4v;30;22.548;2334,074951
Instance1_2s_30c_4v;30;15.781;2265,084229
Instance1_2s_30c_4v;30;19.484;2184,0354
Instance1_2s_30c_4v;30;27.703;2281,406006
Instance1_2s_30c_4v;60;40.108;2326,274414
Instance1_2s_30c_4v;60;34.624;2184,980957
Instance1_2s_30c_4v;60;26.296;2309,936279
Instance1_2s_30c_4v;60;58.404;2261,137207
Instance1_2s_30c_4v;60;57.311;2307,018555
Instance2_2s_30c_4v;10;8.484;2167,008301
Instance2_2s_30c_4v;10;6.093;2172,830078
Instance2_2s_30c_4v;10;8.578;2108,399414
Instance2_2s_30c_4v;10;6.672;2175,668457
Instance2_2s_30c_4v;10;2.968;2145,553955
Instance2_2s_30c_4v;30;28.686;2112,357178
Instance2_2s_30c_4v;30;8.64;2108,898193
Instance2_2s_30c_4v;30;11.187;2130,04126
Instance2_2s_30c_4v;30;20.156;2060,02832
Instance2_2s_30c_4v;30;29.593;2126,60498
Instance2_2s_30c_4v;60;31.89;2104,731201
Instance2_2s_30c_4v;60;54.608;2079,57959
Instance2_2s_30c_4v;60;58.639;2103,068359
Instance2_2s_30c_4v;60;55.202;2111,19873
Instance2_2s_30c_4v;60;29.514;2103,659912
Instance2_2s_40c_4v;10;8.734;2308,077148
Instance2_2s_40c_4v;10;9.031;2302,530518
Instance2_2s_40c_4v;10;9.344;2317,369385
Instance2_2s_40c_4v;10;8.312;2314,268066
Instance2_2s_40c_4v;10;5.484;2292,883545
Instance2_2s_40c_4v;30;15.156;2249,852295
Instance2_2s_40c_4v;30;9.375;2310,361572
Instance2_2s_40c_4v;30;24.671;2282,754883
Instance2_2s_40c_4v;30;15.921;2288,051758
Instance2_2s_40c_4v;30;12.421;2287,827393
Instance2_2s_40c_4v;60;48.092;2286,821777
Instance2_2s_40c_4v;60;34.624;2265,479492
Instance2_2s_40c_4v;60;32.499;2289,658447
Instance2_2s_40c_4v;60;33.639;2248,614258
Instance2_2s_40c_4v;60;45.233;2268,772949
NewInstance3_2s_40c_4v;10;9.452;2289,987549
NewInstance3_2s_40c_4v;10;7.766;2293,367188
NewInstance3_2s_40c_4v;10;9.844;2245,196289
NewInstance3_2s_40c_4v;10;9.671;2289,760742
NewInstance3_2s_40c_4v;10;9.874;2339,702393
NewInstance3_2s_40c_4v;30;12.047;2217,661621
NewInstance3_2s_40c_4v;30;7.968;2225,98877
NewInstance3_2s_40c_4v;30;24.655;2203,236572
NewInstance3_2s_40c_4v;30;23.559;2235,691406
NewInstance3_2s_40c_4v;30;23.142;2265,022217
NewInstance3_2s_40c_4v;60;7.484;2224,539551
NewInstance3_2s_40c_4v;60;51.077;2237,331543
NewInstance3_2s_40c_4v;60;28.421;2211,624023
NewInstance3_2s_40c_4v;60;27.609;2201,765869
NewInstance3_2s_40c_4v;60;49.256;2273,371826
NewInstance4_2s_40c_4v;10;9.156;2401,443604
NewInstance4_2s_40c_4v;10;9.328;2395,073242
NewInstance4_2s_40c_4v;10;2.39;2398,283203
NewInstance4_2s_40c_4v;10;5.281;2377,170898
NewInstance4_2s_40c_4v;10;9.687;2396,343994
NewInstance4_2s_40c_4v;30;22.812;2352,645264
NewInstance4_2s_40c_4v;30;23.577;2332,666748
NewInstance4_2s_40c_4v;30;26.968;2331,977051
NewInstance4_2s_40c_4v;30;25.827;2333,979492
NewInstance4_2s_40c_4v;30;26.984;2361,725098
NewInstance4_2s_40c_4v;60;18.641;2333,057617
NewInstance4_2s_40c_4v;60;23.015;2329,269043
NewInstance4_2s_40c_4v;60;59.797;2370,071777
NewInstance4_2s_40c_4v;60;54.686;2255,609619
NewInstance4_2s_40c_4v;60;46.405;2316,855225
NewInstance4_3s_45c_6v;10;8.719;2429,429932
NewInstance4_3s_45c_6v;10;6.344;2524,758057
NewInstance4_3s_45c_6v;10;9.984;2465,158936
NewInstance4_3s_45c_6v;10;9.64;2984,287354
NewInstance4_3s_45c_6v;10;8.406;2443,648438
NewInstance4_3s_45c_6v;30;29.483;2398,890625
NewInstance4_3s_45c_6v;30;21.625;2436,55249
NewInstance4_3s_45c_6v;30;10.577;2502,461426
NewInstance4_3s_45c_6v;30;26.812;2428,661621
NewInstance4_3s_45c_6v;30;19.265;2332,741211
NewInstance4_3s_45c_6v;60;31.702;2317,182861
NewInstance4_3s_45c_6v;60;33.452;2395,52832
NewInstance4_3s_45c_6v;60;20.437;2334,302979
NewInstance4_3s_45c_6v;60;17.484;2457,19043
NewInstance4_3s_45c_6v;60;14.859;2398,543945
